country,grid,mgcost,tier,metric,value
BFA,restricted,pessimistic,5,grid_densification,3016114.2565
BFA,leastcost,optimistic,1,grid_extension,0.0
BFA,leastcost,optimistic,2,grid_extension,7731117.6753
BFA,leastcost,optimistic,3,grid_extension,11163446.6309
BFA,leastcost,optimistic,4,grid_extension,15027671.8047
BFA,leastcost,optimistic,5,grid_extension,14351780.0323
BFA,leastcost,pessimistic,1,grid_extension,0.0
BFA,leastcost,pessimistic,2,grid_extension,8826755.2981
BFA,leastcost,pessimistic,3,grid_extension,14246672.7718
BFA,leastcost,pessimistic,4,grid_extension,18286379.7762
BFA,leastcost,pessimistic,5,grid_extension,16709280.1027
BFA,restricted,optimistic,1,grid_extension,0.0
BFA,restricted,optimistic,2,grid_extension,1106373.246
BFA,restricted,optimistic,3,grid_extension,1622709.927
BFA,restricted,optimistic,4,grid_extension,1634105.86
BFA,restricted,optimistic,5,grid_extension,1634210.6222
BFA,restricted,pessimistic,1,grid_extension,0.0
BFA,restricted,pessimistic,2,grid_extension,1598443.1645
BFA,restricted,pessimistic,3,grid_extension,1634196.6647
BFA,restricted,pessimistic,4,grid_extension,1660223.1089
BFA,restricted,pessimistic,5,grid_extension,1660213.1379
BFA,leastcost,optimistic,1,minigrid,0.0
BFA,leastcost,optimistic,2,minigrid,3217916.3896
BFA,leastcost,optimistic,3,minigrid,5984701.9657
BFA,leastcost,optimistic,4,minigrid,4829192.724
BFA,leastcost,optimistic,5,minigrid,5732255.4373
BFA,leastcost,pessimistic,1,minigrid,0.0
BFA,leastcost,pessimistic,2,minigrid,21737.448
BFA,leastcost,pessimistic,3,minigrid,595220.1795
BFA,leastcost,pessimistic,4,minigrid,668365.4666
BFA,leastcost,pessimistic,5,minigrid,3374755.367
BFA,restricted,optimistic,1,minigrid,0.0
BFA,restricted,optimistic,2,minigrid,9837695.2749
BFA,restricted,optimistic,3,minigrid,15525438.6696
BFA,restricted,optimistic,4,minigrid,18222758.6688
BFA,restricted,optimistic,5,minigrid,18449824.8474
BFA,restricted,pessimistic,1,minigrid,0.0
BFA,restricted,pessimistic,2,minigrid,54720.4424
BFA,restricted,pessimistic,3,minigrid,12794214.1864
BFA,restricted,pessimistic,4,minigrid,17246784.5497
BFA,restricted,pessimistic,5,minigrid,18423822.3318
BFA,leastcost,optimistic,1,standalone,20084035.4696
BFA,leastcost,optimistic,2,standalone,9135001.4048
BFA,leastcost,optimistic,3,standalone,2935886.873
BFA,leastcost,optimistic,4,standalone,227170.9409
BFA,leastcost,optimistic,5,standalone,0.0
BFA,leastcost,pessimistic,1,standalone,20084035.4696
BFA,leastcost,pessimistic,2,standalone,11235542.7235
BFA,leastcost,pessimistic,3,standalone,5242142.5183
BFA,leastcost,pessimistic,4,standalone,1129290.2269
BFA,leastcost,pessimistic,5,standalone,0.0
BFA,restricted,optimistic,1,standalone,20084035.4696
BFA,restricted,optimistic,2,standalone,9139966.9487
BFA,restricted,optimistic,3,standalone,2935886.873
BFA,restricted,optimistic,4,standalone,227170.9409
BFA,restricted,optimistic,5,standalone,0.0
BFA,restricted,pessimistic,1,standalone,20084035.4696
BFA,restricted,pessimistic,2,standalone,18430871.8627
BFA,restricted,pessimistic,3,standalone,5655624.6186
BFA,restricted,pessimistic,4,standalone,1177027.8111
BFA,restricted,pessimistic,5,standalone,0.0
BFA,leastcost,optimistic,1,battery_mwh,0.0
BFA,leastcost,optimistic,2,battery_mwh,367.7563
BFA,leastcost,optimistic,3,battery_mwh,1152.1543
BFA,leastcost,optimistic,4,battery_mwh,2326.0846
BFA,leastcost,optimistic,5,battery_mwh,3308.4731
BFA,leastcost,pessimistic,1,battery_mwh,0.0
BFA,leastcost,pessimistic,2,battery_mwh,1.0947
BFA,leastcost,pessimistic,3,battery_mwh,131.4832
BFA,leastcost,pessimistic,4,battery_mwh,101.4335
BFA,leastcost,pessimistic,5,battery_mwh,368.3895
BFA,restricted,optimistic,1,battery_mwh,0.0
BFA,restricted,optimistic,2,battery_mwh,1247.6087
BFA,restricted,optimistic,3,battery_mwh,5291.6499
BFA,restricted,optimistic,4,battery_mwh,15729.2824
BFA,restricted,optimistic,5,battery_mwh,24957.3261
BFA,restricted,pessimistic,1,battery_mwh,0.0
BFA,restricted,pessimistic,2,battery_mwh,3.2864
BFA,restricted,pessimistic,3,battery_mwh,3932.6599
BFA,restricted,pessimistic,4,battery_mwh,10971.7596
BFA,restricted,pessimistic,5,battery_mwh,17948.5187
BFA,leastcost,optimistic,1,vos_investment_usd_m,0.0
BFA,leastcost,optimistic,2,vos_investment_usd_m,-38.5017
BFA,leastcost,optimistic,3,vos_investment_usd_m,-136.0694
BFA,leastcost,optimistic,4,vos_investment_usd_m,-284.5647
BFA,leastcost,optimistic,5,vos_investment_usd_m,-419.4284
BFA,leastcost,pessimistic,1,vos_investment_usd_m,0.0
BFA,leastcost,pessimistic,2,vos_investment_usd_m,-0.2844
BFA,leastcost,pessimistic,3,vos_investment_usd_m,-39.4806
BFA,leastcost,pessimistic,4,vos_investment_usd_m,-31.9725
BFA,leastcost,pessimistic,5,vos_investment_usd_m,-115.4294
BFA,restricted,optimistic,1,vos_investment_usd_m,0.0
BFA,restricted,optimistic,2,vos_investment_usd_m,-107.6387
BFA,restricted,optimistic,3,vos_investment_usd_m,-599.3195
BFA,restricted,optimistic,4,vos_investment_usd_m,-2204.399
BFA,restricted,optimistic,5,vos_investment_usd_m,-3230.2123
BFA,restricted,pessimistic,1,vos_investment_usd_m,0.0
BFA,restricted,pessimistic,2,vos_investment_usd_m,-0.9695
BFA,restricted,pessimistic,3,vos_investment_usd_m,-1161.0907
BFA,restricted,pessimistic,4,vos_investment_usd_m,-3081.0285
BFA,restricted,pessimistic,5,vos_investment_usd_m,-5877.9938
BFA,leastcost,optimistic,1,vos_fuel_savings_usd_m,0.0
BFA,leastcost,optimistic,2,vos_fuel_savings_usd_m,146.4115
BFA,leastcost,optimistic,3,vos_fuel_savings_usd_m,431.845
BFA,leastcost,optimistic,4,vos_fuel_savings_usd_m,832.8669
BFA,leastcost,optimistic,5,vos_fuel_savings_usd_m,1145.5212
BFA,leastcost,pessimistic,1,vos_fuel_savings_usd_m,0.0
BFA,leastcost,pessimistic,2,vos_fuel_savings_usd_m,0.5398
BFA,leastcost,pessimistic,3,vos_fuel_savings_usd_m,59.915
BFA,leastcost,pessimistic,4,vos_fuel_savings_usd_m,44.5142
BFA,leastcost,pessimistic,5,vos_fuel_savings_usd_m,154.8956
BFA,restricted,optimistic,1,vos_fuel_savings_usd_m,0.0
BFA,restricted,optimistic,2,vos_fuel_savings_usd_m,470.0561
BFA,restricted,optimistic,3,vos_fuel_savings_usd_m,1848.1054
BFA,restricted,optimistic,4,vos_fuel_savings_usd_m,5875.5681
BFA,restricted,optimistic,5,vos_fuel_savings_usd_m,9079.0877
BFA,restricted,pessimistic,1,vos_fuel_savings_usd_m,0.0
BFA,restricted,pessimistic,2,vos_fuel_savings_usd_m,1.7544
BFA,restricted,pessimistic,3,vos_fuel_savings_usd_m,1569.5693
BFA,restricted,pessimistic,4,vos_fuel_savings_usd_m,4299.212
BFA,restricted,pessimistic,5,vos_fuel_savings_usd_m,7593.65
BFA,leastcost,optimistic,1,vos_om_savings_usd_m,0.0
BFA,leastcost,optimistic,2,vos_om_savings_usd_m,11.4408
BFA,leastcost,optimistic,3,vos_om_savings_usd_m,29.8381
BFA,leastcost,optimistic,4,vos_om_savings_usd_m,55.2404
BFA,leastcost,optimistic,5,vos_om_savings_usd_m,75.5793
BFA,leastcost,pessimistic,1,vos_om_savings_usd_m,0.0
BFA,leastcost,pessimistic,2,vos_om_savings_usd_m,0.0453
BFA,leastcost,pessimistic,3,vos_om_savings_usd_m,3.598
BFA,leastcost,pessimistic,4,vos_om_savings_usd_m,2.6909
BFA,leastcost,pessimistic,5,vos_om_savings_usd_m,9.7306
BFA,restricted,optimistic,1,vos_om_savings_usd_m,0.0
BFA,restricted,optimistic,2,vos_om_savings_usd_m,44.6761
BFA,restricted,optimistic,3,vos_om_savings_usd_m,134.8649
BFA,restricted,optimistic,4,vos_om_savings_usd_m,384.009
BFA,restricted,optimistic,5,vos_om_savings_usd_m,523.129
BFA,restricted,pessimistic,1,vos_om_savings_usd_m,0.0
BFA,restricted,pessimistic,2,vos_om_savings_usd_m,0.1488
BFA,restricted,pessimistic,3,vos_om_savings_usd_m,85.711
BFA,restricted,pessimistic,4,vos_om_savings_usd_m,314.1153
BFA,restricted,pessimistic,5,vos_om_savings_usd_m,457.359
BFA,leastcost,optimistic,1,vos_usd_m,0.0
BFA,leastcost,optimistic,2,vos_usd_m,119.3506
BFA,leastcost,optimistic,3,vos_usd_m,325.6136
BFA,leastcost,optimistic,4,vos_usd_m,603.5425
BFA,leastcost,optimistic,5,vos_usd_m,801.6721
BFA,leastcost,pessimistic,1,vos_usd_m,0.0
BFA,leastcost,pessimistic,2,vos_usd_m,0.3007
BFA,leastcost,pessimistic,3,vos_usd_m,24.0324
BFA,leastcost,pessimistic,4,vos_usd_m,15.2326
BFA,leastcost,pessimistic,5,vos_usd_m,49.1968
BFA,restricted,optimistic,1,vos_usd_m,0.0
BFA,restricted,optimistic,2,vos_usd_m,407.0935
BFA,restricted,optimistic,3,vos_usd_m,1383.6508
BFA,restricted,optimistic,4,vos_usd_m,4055.1781
BFA,restricted,optimistic,5,vos_usd_m,6372.0044
BFA,restricted,pessimistic,1,vos_usd_m,0.0
BFA,restricted,pessimistic,2,vos_usd_m,0.9337
BFA,restricted,pessimistic,3,vos_usd_m,494.1895
BFA,restricted,pessimistic,4,vos_usd_m,1532.33
BFA,restricted,pessimistic,5,vos_usd_m,2173.34
MLI,leastcost,optimistic,1,existing,14990835.4488
MLI,leastcost,optimistic,2,existing,14990835.4488
MLI,leastcost,optimistic,3,existing,14990835.4488
MLI,leastcost,optimistic,4,existing,14990835.4488
MLI,leastcost,optimistic,5,existing,14990835.4488
MLI,leastcost,pessimistic,1,existing,14990835.4488
MLI,leastcost,pessimistic,2,existing,14990835.4488
MLI,leastcost,pessimistic,3,existing,14990835.4488
MLI,leastcost,pessimistic,4,existing,14990835.4488
MLI,leastcost,pessimistic,5,existing,14990835.4488
MLI,restricted,optimistic,1,existing,14990835.4488
MLI,restricted,optimistic,2,existing,14990835.4488
MLI,restricted,optimistic,3,existing,14990835.4488
MLI,restricted,optimistic,4,existing,14990835.4488
MLI,restricted,optimistic,5,existing,14990835.4488
MLI,restricted,pessimistic,1,existing,14990835.4488
MLI,restricted,pessimistic,2,existing,14990835.4488
MLI,restricted,pessimistic,3,existing,14990835.4488
MLI,restricted,pessimistic,4,existing,14990835.4488
MLI,restricted,pessimistic,5,existing,14990835.4488
MLI,leastcost,optimistic,1,grid_densification,7661180.7703
MLI,leastcost,optimistic,2,grid_densification,7661180.7703
MLI,leastcost,optimistic,3,grid_densification,7661180.7703
MLI,leastcost,optimistic,4,grid_densification,7661180.7703
MLI,leastcost,optimistic,5,grid_densification,7661180.7703
MLI,leastcost,pessimistic,1,grid_densification,7661180.7703
MLI,leastcost,pessimistic,2,grid_densification,7661180.7703
MLI,leastcost,pessimistic,3,grid_densification,7661180.7703
MLI,leastcost,pessimistic,4,grid_densification,7661180.7703
MLI,leastcost,pessimistic,5,grid_densification,7661180.7703
MLI,restricted,optimistic,1,grid_densification,7661180.7703
MLI,restricted,optimistic,2,grid_densification,7661180.7703
MLI,restricted,optimistic,3,grid_densification,7661180.7703
MLI,restricted,optimistic,4,grid_densification,7661180.7703
MLI,restricted,optimistic,5,grid_densification,7661180.7703
MLI,restricted,pessimistic,1,grid_densification,7661180.7703
MLI,restricted,pessimistic,2,grid_densification,7661180.7703
MLI,restricted,pessimistic,3,grid_densification,7661180.7703
MLI,restricted,pessimistic,4,grid_densification,7661180.7703
MLI,restricted,pessimistic,5,grid_densification,7661180.7703
MLI,leastcost,optimistic,1,grid_extension,0.0
MLI,leastcost,optimistic,2,grid_extension,166526.9059
MLI,leastcost,optimistic,3,grid_extension,1579772.4109
MLI,leastcost,optimistic,4,grid_extension,3254053.0072
MLI,leastcost,optimistic,5,grid_extension,3562330.6726
MLI,leastcost,pessimistic,1,grid_extension,0.0
MLI,leastcost,pessimistic,2,grid_extension,669449.7121
MLI,leastcost,pessimistic,3,grid_extension,3256934.1847
MLI,leastcost,pessimistic,4,grid_extension,4189018.4032
MLI,leastcost,pessimistic,5,grid_extension,4568475.0497
MLI,restricted,optimistic,1,grid_extension,0.0
MLI,restricted,optimistic,2,grid_extension,0.0
MLI,restricted,optimistic,3,grid_extension,0.0
MLI,restricted,optimistic,4,grid_extension,0.0
MLI,restricted,optimistic,5,grid_extension,0.0
MLI,restricted,pessimistic,1,grid_extension,0.0
MLI,restricted,pessimistic,2,grid_extension,0.0
MLI,restricted,pessimistic,3,grid_extension,0.0
MLI,restricted,pessimistic,4,grid_extension,0.0
MLI,restricted,pessimistic,5,grid_extension,0.0
MLI,leastcost,optimistic,1,minigrid,0.0
MLI,leastcost,optimistic,2,minigrid,2478530.713
MLI,leastcost,optimistic,3,minigrid,2680636.9613
MLI,leastcost,optimistic,4,minigrid,2353193.4957
MLI,leastcost,optimistic,5,minigrid,2385960.823
MLI,leastcost,pessimistic,1,minigrid,0.0
MLI,leastcost,pessimistic,2,minigrid,33219.9766
MLI,leastcost,pessimistic,3,minigrid,531511.764
MLI,leastcost,pessimistic,4,minigrid,713101.2524
MLI,leastcost,pessimistic,5,minigrid,814690.2048
MLI,restricted,optimistic,1,minigrid,0.0
MLI,restricted,optimistic,2,minigrid,2629132.2917
MLI,restricted,optimistic,3,minigrid,4260409.3722
MLI,restricted,optimistic,4,minigrid,5607246.5029
MLI,restricted,optimistic,5,minigrid,5948291.4956
MLI,restricted,pessimistic,1,minigrid,0.0
MLI,restricted,pessimistic,2,minigrid,62181.1249
MLI,restricted,pessimistic,3,minigrid,3775772.6878
MLI,restricted,pessimistic,4,minigrid,4890747.7981
MLI,restricted,pessimistic,5,minigrid,5378098.8771
MLI,leastcost,optimistic,1,standalone,6060277.7809
MLI,leastcost,optimistic,2,standalone,3415220.162
MLI,leastcost,optimistic,3,standalone,1799868.4087
MLI,leastcost,optimistic,4,standalone,453031.278
MLI,leastcost,optimistic,5,standalone,111986.2853
MLI,leastcost,pessimistic,1,standalone,6060277.7809
MLI,leastcost,pessimistic,2,standalone,5357608.0922
MLI,leastcost,pessimistic,3,standalone,2271831.8322
MLI,leastcost,pessimistic,4,standalone,1158158.1253
MLI,leastcost,pessimistic,5,standalone,677112.5263
MLI,restricted,optimistic,1,standalone,6060277.7809
MLI,restricted,optimistic,2,standalone,3431145.4892
MLI,restricted,optimistic,3,standalone,1799868.4087
MLI,restricted,optimistic,4,standalone,453031.278
MLI,restricted,optimistic,5,standalone,111986.2853
MLI,restricted,pessimistic,1,standalone,6060277.7809
MLI,restricted,pessimistic,2,standalone,5998096.6559
MLI,restricted,pessimistic,3,standalone,2284505.093
MLI,restricted,pessimistic,4,standalone,1169529.9828
MLI,restricted,pessimistic,5,standalone,682178.9038
MLI,leastcost,optimistic,1,battery_mwh,0.0
MLI,leastcost,optimistic,2,battery_mwh,219.6564
MLI,leastcost,optimistic,3,battery_mwh,671.6858
MLI,leastcost,optimistic,4,battery_mwh,930.663
MLI,leastcost,optimistic,5,battery_mwh,1355.9071
MLI,leastcost,pessimistic,1,battery_mwh,0.0
MLI,leastcost,pessimistic,2,battery_mwh,0.0
MLI,leastcost,pessimistic,3,battery_mwh,108.4935
MLI,leastcost,pessimistic,4,battery_mwh,235.2373
MLI,leastcost,pessimistic,5,battery_mwh,346.6723
MLI,restricted,optimistic,1,battery_mwh,0.0
MLI,restricted,optimistic,2,battery_mwh,232.2527
MLI,restricted,optimistic,3,battery_mwh,1162.761
MLI,restricted,optimistic,4,battery_mwh,3605.5414
MLI,restricted,optimistic,5,battery_mwh,5529.4528
MLI,restricted,pessimistic,1,battery_mwh,0.0
MLI,restricted,pessimistic,2,battery_mwh,1.1681
MLI,restricted,pessimistic,3,battery_mwh,872.6984
MLI,restricted,pessimistic,4,battery_mwh,2701.396
MLI,restricted,pessimistic,5,battery_mwh,4066.886
MLI,leastcost,optimistic,1,vos_investment_usd_m,0.0
MLI,leastcost,optimistic,2,vos_investment_usd_m,-23.599
MLI,leastcost,optimistic,3,vos_investment_usd_m,-80.3395
MLI,leastcost,optimistic,4,vos_investment_usd_m,-116.569
MLI,leastcost,optimistic,5,vos_investment_usd_m,-167.0381
MLI,leastcost,pessimistic,1,vos_investment_usd_m,0.0
MLI,leastcost,pessimistic,2,vos_investment_usd_m,0.0
MLI,leastcost,pessimistic,3,vos_investment_usd_m,-31.9582
MLI,leastcost,pessimistic,4,vos_investment_usd_m,-70.8136
MLI,leastcost,pessimistic,5,vos_investment_usd_m,-102.1552
MLI,restricted,optimistic,1,vos_investment_usd_m,0.0
MLI,restricted,optimistic,2,vos_investment_usd_m,-24.5453
MLI,restricted,optimistic,3,vos_investment_usd_m,-141.098
MLI,restricted,optimistic,4,vos_investment_usd_m,-458.3536
MLI,restricted,optimistic,5,vos_investment_usd_m,-696.4166
MLI,restricted,pessimistic,1,vos_investment_usd_m,0.0
MLI,restricted,pessimistic,2,vos_investment_usd_m,-0.3886
MLI,restricted,pessimistic,3,vos_investment_usd_m,-251.7779
MLI,restricted,pessimistic,4,vos_investment_usd_m,-813.7803
MLI,restricted,pessimistic,5,vos_investment_usd_m,-1236.4838
MLI,leastcost,optimistic,1,vos_fuel_savings_usd_m,0.0
MLI,leastcost,optimistic,2,vos_fuel_savings_usd_m,98.646
MLI,leastcost,optimistic,3,vos_fuel_savings_usd_m,284.6655
MLI,leastcost,optimistic,4,vos_fuel_savings_usd_m,381.4986
MLI,leastcost,optimistic,5,vos_fuel_savings_usd_m,551.0541
MLI,leastcost,pessimistic,1,vos_fuel_savings_usd_m,0.0
MLI,leastcost,pessimistic,2,vos_fuel_savings_usd_m,0.0
MLI,leastcost,pessimistic,3,vos_fuel_savings_usd_m,54.8893
MLI,leastcost,pessimistic,4,vos_fuel_savings_usd_m,112.9889
MLI,leastcost,pessimistic,5,vos_fuel_savings_usd_m,163.8431
MLI,restricted,optimistic,1,vos_fuel_savings_usd_m,0.0
MLI,restricted,optimistic,2,vos_fuel_savings_usd_m,103.0415
MLI,restricted,optimistic,3,vos_fuel_savings_usd_m,497.2057
MLI,restricted,optimistic,4,vos_fuel_savings_usd_m,1471.6604
MLI,restricted,optimistic,5,vos_fuel_savings_usd_m,2246.0048
MLI,restricted,pessimistic,1,vos_fuel_savings_usd_m,0.0
MLI,restricted,pessimistic,2,vos_fuel_savings_usd_m,0.7168
MLI,restricted,pessimistic,3,vos_fuel_savings_usd_m,424.7577
MLI,restricted,pessimistic,4,vos_fuel_savings_usd_m,1265.7874
MLI,restricted,pessimistic,5,vos_fuel_savings_usd_m,1924.7195
MLI,leastcost,optimistic,1,vos_om_savings_usd_m,0.0
MLI,leastcost,optimistic,2,vos_om_savings_usd_m,6.5375
MLI,leastcost,optimistic,3,vos_om_savings_usd_m,17.0077
MLI,leastcost,optimistic,4,vos_om_savings_usd_m,21.5008
MLI,leastcost,optimistic,5,vos_om_savings_usd_m,31.357
MLI,leastcost,pessimistic,1,vos_om_savings_usd_m,0.0
MLI,leastcost,pessimistic,2,vos_om_savings_usd_m,0.0
MLI,leastcost,pessimistic,3,vos_om_savings_usd_m,2.6161
MLI,leastcost,pessimistic,4,vos_om_savings_usd_m,5.6664
MLI,leastcost,pessimistic,5,vos_om_savings_usd_m,8.1541
MLI,restricted,optimistic,1,vos_om_savings_usd_m,0.0
MLI,restricted,optimistic,2,vos_om_savings_usd_m,6.9353
MLI,restricted,optimistic,3,vos_om_savings_usd_m,29.6607
MLI,restricted,optimistic,4,vos_om_savings_usd_m,85.5667
MLI,restricted,optimistic,5,vos_om_savings_usd_m,131.4372
MLI,restricted,pessimistic,1,vos_om_savings_usd_m,0.0
MLI,restricted,pessimistic,2,vos_om_savings_usd_m,0.0436
MLI,restricted,pessimistic,3,vos_om_savings_usd_m,21.8196
MLI,restricted,pessimistic,4,vos_om_savings_usd_m,63.518
MLI,restricted,pessimistic,5,vos_om_savings_usd_m,96.6408
MLI,leastcost,optimistic,1,vos_usd_m,0.0
MLI,leastcost,optimistic,2,vos_usd_m,81.5845
MLI,leastcost,optimistic,3,vos_usd_m,221.3337
MLI,leastcost,optimistic,4,vos_usd_m,286.4304
MLI,leastcost,optimistic,5,vos_usd_m,415.373
MLI,leastcost,pessimistic,1,vos_usd_m,0.0
MLI,leastcost,pessimistic,2,vos_usd_m,0.0
MLI,leastcost,pessimistic,3,vos_usd_m,25.5473
MLI,leastcost,pessimistic,4,vos_usd_m,47.8416
MLI,leastcost,pessimistic,5,vos_usd_m,69.842
MLI,restricted,optimistic,1,vos_usd_m,0.0
MLI,restricted,optimistic,2,vos_usd_m,85.4315
MLI,restricted,optimistic,3,vos_usd_m,385.7684
MLI,restricted,optimistic,4,vos_usd_m,1098.8734
MLI,restricted,optimistic,5,vos_usd_m,1681.0254
MLI,restricted,pessimistic,1,vos_usd_m,0.0
MLI,restricted,pessimistic,2,vos_usd_m,0.3718
MLI,restricted,pessimistic,3,vos_usd_m,194.7995
MLI,restricted,pessimistic,4,vos_usd_m,515.5251
MLI,restricted,pessimistic,5,vos_usd_m,784.8765
NGA,leastcost,optimistic,1,existing,135990742.8216
NGA,leastcost,optimistic,2,existing,135990742.8216
NGA,leastcost,optimistic,3,existing,135990742.8216
NGA,leastcost,optimistic,4,existing,135990742.8216
NGA,leastcost,optimistic,5,existing,135990742.8216
NGA,leastcost,pessimistic,1,existing,135990742.8216
NGA,leastcost,pessimistic,2,existing,135990742.8216
NGA,leastcost,pessimistic,3,existing,135990742.8216
NGA,leastcost,pessimistic,4,existing,135990742.8216
NGA,leastcost,pessimistic,5,existing,135990742.8216
NGA,restricted,optimistic,1,existing,135990742.8216
NGA,restricted,optimistic,2,existing,135990742.8216
NGA,restricted,optimistic,3,existing,135990742.8216
NGA,restricted,optimistic,4,existing,135990742.8216
NGA,restricted,optimistic,5,existing,135990742.8216
NGA,restricted,pessimistic,1,existing,135990742.8216
NGA,restricted,pessimistic,2,existing,135990742.8216
NGA,restricted,pessimistic,3,existing,135990742.8216
NGA,restricted,pessimistic,4,existing,135990742.8216
NGA,restricted,pessimistic,5,existing,135990742.8216
NGA,leastcost,optimistic,1,grid_densification,35958777.228
NGA,leastcost,optimistic,2,grid_densification,35958777.228
NGA,leastcost,optimistic,3,grid_densification,35958777.228
NGA,leastcost,optimistic,4,grid_densification,35958777.228
NGA,leastcost,optimistic,5,grid_densification,35958777.228
NGA,leastcost,pessimistic,1,grid_densification,35958777.228
NGA,leastcost,pessimistic,2,grid_densification,35958777.228
NGA,leastcost,pessimistic,3,grid_densification,35958777.228
NGA,leastcost,pessimistic,4,grid_densification,35958777.228
NGA,leastcost,pessimistic,5,grid_densification,35958777.228
NGA,restricted,optimistic,1,grid_densification,35958777.228
NGA,restricted,optimistic,2,grid_densification,35958777.228
NGA,restricted,optimistic,3,grid_densification,35958777.228
NGA,restricted,optimistic,4,grid_densification,35958777.228
NGA,restricted,optimistic,5,grid_densification,35958777.228
NGA,restricted,pessimistic,1,grid_densification,35958777.228
NGA,restricted,pessimistic,2,grid_densification,35958777.228
NGA,restricted,pessimistic,3,grid_densification,35958777.228
NGA,restricted,pessimistic,4,grid_densification,35958777.228
NGA,restricted,pessimistic,5,grid_densification,35958777.228
NGA,leastcost,optimistic,1,grid_extension,74667.8823
NGA,leastcost,optimistic,2,grid_extension,49152705.8596
NGA,leastcost,optimistic,3,grid_extension,68712406.7353
NGA,leastcost,optimistic,4,grid_extension,81228227.9275
NGA,leastcost,optimistic,5,grid_extension,81290153.1429
NGA,leastcost,pessimistic,1,grid_extension,138438.8767
NGA,leastcost,pessimistic,2,grid_extension,58027669.0714
NGA,leastcost,pessimistic,3,grid_extension,78153540.2768
NGA,leastcost,pessimistic,4,grid_extension,87331651.1042
NGA,leastcost,pessimistic,5,grid_extension,85566000.2585
NGA,restricted,optimistic,1,grid_extension,0.0
NGA,restricted,optimistic,2,grid_extension,5041934.0734
NGA,restricted,optimistic,3,grid_extension,7514658.9938
NGA,restricted,optimistic,4,grid_extension,7025700.0489
NGA,restricted,optimistic,5,grid_extension,7642994.8597
NGA,restricted,pessimistic,1,grid_extension,138438.8767
NGA,restricted,pessimistic,2,grid_extension,5628185.7407
NGA,restricted,pessimistic,3,grid_extension,6893705.7205
NGA,restricted,pessimistic,4,grid_extension,7495457.5627
NGA,restricted,pessimistic,5,grid_extension,7451967.845
NGA,leastcost,optimistic,1,minigrid,269184.7626
NGA,leastcost,optimistic,2,minigrid,17059879.3598
NGA,leastcost,optimistic,3,minigrid,15936018.0304
NGA,leastcost,optimistic,4,minigrid,8612225.1406
NGA,leastcost,optimistic,5,minigrid,9340703.1679
NGA,leastcost,pessimistic,1,minigrid,4313.7455
NGA,leastcost,pessimistic,2,minigrid,2928890.3298
NGA,leastcost,pessimistic,3,minigrid,1838496.0451
NGA,leastcost,pessimistic,4,minigrid,806096.1542
NGA,leastcost,pessimistic,5,minigrid,5064755.9328
NGA,restricted,optimistic,1,minigrid,325348.5862
NGA,restricted,optimistic,2,minigrid,60979923.9577
NGA,restricted,optimistic,3,minigrid,77133680.0321
NGA,restricted,optimistic,4,minigrid,82814753.0192
NGA,restricted,optimistic,5,minigrid,82987861.4511
NGA,restricted,pessimistic,1,minigrid,4313.7455
NGA,restricted,pessimistic,2,minigrid,47287318.7143
NGA,restricted,pessimistic,3,minigrid,71358347.6902
